time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-14 00:00:00+00:00,102,47,438,100
2021-10-15 00:00:00+00:00,213,66,364,100
2021-10-16 00:00:00+00:00,267,73,221,59
2021-10-17 00:00:00+00:00,202,61,289,75
2021-10-18 00:00:00+00:00,139,47,434,104
2021-10-19 00:00:00+00:00,380,98,646,129
2021-10-20 00:00:00+00:00,468,87,1022,127
2021-10-21 00:00:00+00:00,234,65,1582,106
2021-10-22 00:00:00+00:00,840,74,1281,107
2021-10-23 00:00:00+00:00,706,66,976,75
2021-10-24 00:00:00+00:00,103,36,469,69
2021-10-25 00:00:00+00:00,18,9,1418,112
2021-10-26 00:00:00+00:00,122,43,987,123
2021-10-27 00:00:00+00:00,80,32,470,92
