time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-06 00:00:00+00:00,174,62,577,85
2021-09-07 00:00:00+00:00,277,59,650,79
2021-09-08 00:00:00+00:00,201,68,627,91
2021-09-09 00:00:00+00:00,54,24,510,106
2021-09-10 00:00:00+00:00,296,33,827,100
2021-09-11 00:00:00+00:00,25,9,263,61
2021-09-12 00:00:00+00:00,3,3,128,61
2021-09-13 00:00:00+00:00,172,80,703,117
2021-09-14 00:00:00+00:00,283,74,905,98
2021-09-15 00:00:00+00:00,121,55,612,101
2021-09-16 00:00:00+00:00,188,55,640,118
2021-09-17 00:00:00+00:00,235,77,553,115
2021-09-18 00:00:00+00:00,112,50,199,83
2021-09-19 00:00:00+00:00,23,18,242,81
