time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-13 00:00:00+00:00,114.0,43.0,695,110
2021-10-14 00:00:00+00:00,102.0,47.0,438,100
2021-10-15 00:00:00+00:00,213.0,66.0,364,100
2021-10-16 00:00:00+00:00,267.0,73.0,221,59
2021-10-17 00:00:00+00:00,202.0,61.0,289,75
2021-10-18 00:00:00+00:00,139.0,47.0,434,104
2021-10-19 00:00:00+00:00,405.0,98.0,614,126
2021-10-20 00:00:00+00:00,985.0,87.0,279,82
2021-10-21 00:00:00+00:00,333.0,65.0,1156,86
2021-10-22 00:00:00+00:00,803.0,74.0,1281,107
2021-10-23 00:00:00+00:00,706.0,66.0,976,75
2021-10-24 00:00:00+00:00,103.0,36.0,469,69
2021-10-25 00:00:00+00:00,18.0,9.0,1418,112
2021-10-26 00:00:00+00:00,,,108,41
