time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-08 00:00:00+00:00,87,30,153,48
2021-08-09 00:00:00+00:00,135,60,467,94
2021-08-10 00:00:00+00:00,908,76,757,80
2021-08-11 00:00:00+00:00,271,83,680,75
2021-08-12 00:00:00+00:00,177,66,486,97
2021-08-13 00:00:00+00:00,177,77,397,71
2021-08-14 00:00:00+00:00,213,62,135,39
2021-08-15 00:00:00+00:00,116,48,215,66
2021-08-16 00:00:00+00:00,178,65,543,70
2021-08-17 00:00:00+00:00,288,89,669,92
2021-08-18 00:00:00+00:00,359,87,828,94
2021-08-19 00:00:00+00:00,343,91,777,117
2021-08-20 00:00:00+00:00,242,82,469,78
2021-08-21 00:00:00+00:00,200,79,185,87
