url_path,views_total,views_unique
/tendermint/starport,1773,679
/tendermint/starport/pulls,363,34
/tendermint/starport/issues,240,61
/tendermint/starport/search,115,36
/tendermint/starport/tree/develop/starport,113,67
/tendermint/starport/pull/1774,92,7
/tendermint/starport/releases,90,55
/tendermint/starport/tree/develop/docs,65,49
/tendermint/starport/pull/1808,46,3
/tendermint/starport/tree/develop/starport/cmd,44,31
