time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-23 00:00:00+00:00,235,97,613,54
2021-06-24 00:00:00+00:00,197,95,402,99
2021-06-25 00:00:00+00:00,275,92,818,50
2021-06-26 00:00:00+00:00,160,87,226,42
2021-06-27 00:00:00+00:00,113,62,194,37
2021-06-28 00:00:00+00:00,202,78,556,61
2021-06-29 00:00:00+00:00,289,103,608,52
2021-06-30 00:00:00+00:00,295,93,857,63
2021-07-01 00:00:00+00:00,136,64,672,66
2021-07-02 00:00:00+00:00,124,56,655,53
2021-07-03 00:00:00+00:00,81,49,107,28
2021-07-04 00:00:00+00:00,105,48,184,31
2021-07-05 00:00:00+00:00,255,78,400,40
2021-07-06 00:00:00+00:00,188,64,575,46
