time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-03 00:00:00+00:00,256,100,503,63
2021-08-04 00:00:00+00:00,253,70,506,90
2021-08-05 00:00:00+00:00,134,53,253,77
2021-08-06 00:00:00+00:00,224,44,407,85
2021-08-07 00:00:00+00:00,91,28,127,42
2021-08-08 00:00:00+00:00,87,30,153,48
2021-08-09 00:00:00+00:00,135,60,467,94
2021-08-10 00:00:00+00:00,908,76,757,80
2021-08-11 00:00:00+00:00,271,83,680,75
2021-08-12 00:00:00+00:00,177,66,486,97
2021-08-13 00:00:00+00:00,177,77,397,71
2021-08-14 00:00:00+00:00,213,62,135,39
2021-08-15 00:00:00+00:00,116,48,215,66
2021-08-16 00:00:00+00:00,174,63,542,70
