time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-15 00:00:00+00:00,213,66,364,100
2021-10-16 00:00:00+00:00,267,73,221,59
2021-10-17 00:00:00+00:00,202,61,289,75
2021-10-18 00:00:00+00:00,139,47,434,104
2021-10-19 00:00:00+00:00,405,98,646,129
2021-10-20 00:00:00+00:00,985,87,1022,127
2021-10-21 00:00:00+00:00,557,65,2032,106
2021-10-22 00:00:00+00:00,1095,74,1566,107
2021-10-23 00:00:00+00:00,975,66,1116,75
2021-10-24 00:00:00+00:00,161,36,545,69
2021-10-25 00:00:00+00:00,258,31,1934,112
2021-10-26 00:00:00+00:00,211,44,1290,123
2021-10-27 00:00:00+00:00,393,104,1132,132
2021-10-28 00:00:00+00:00,494,91,830,120
