time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-20 00:00:00+00:00,371,95,177,66
2021-11-21 00:00:00+00:00,372,104,404,95
2021-11-22 00:00:00+00:00,479,117,519,113
2021-11-23 00:00:00+00:00,505,115,550,115
2021-11-24 00:00:00+00:00,574,123,569,95
2021-11-25 00:00:00+00:00,581,121,519,94
2021-11-26 00:00:00+00:00,465,110,520,88
2021-11-27 00:00:00+00:00,175,70,136,47
2021-11-28 00:00:00+00:00,212,90,121,45
2021-11-29 00:00:00+00:00,282,92,707,88
2021-11-30 00:00:00+00:00,596,102,876,75
2021-12-01 00:00:00+00:00,704,113,1048,100
2021-12-02 00:00:00+00:00,712,120,813,91
2021-12-03 00:00:00+00:00,441,106,511,86
