time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-26 00:00:00+00:00,465,110,520,88
2021-11-27 00:00:00+00:00,175,70,136,47
2021-11-28 00:00:00+00:00,212,90,121,45
2021-11-29 00:00:00+00:00,282,92,707,88
2021-11-30 00:00:00+00:00,596,102,876,75
2021-12-01 00:00:00+00:00,704,113,1048,100
2021-12-02 00:00:00+00:00,712,120,813,91
2021-12-03 00:00:00+00:00,459,110,529,91
2021-12-04 00:00:00+00:00,301,80,185,54
2021-12-05 00:00:00+00:00,297,81,187,54
2021-12-06 00:00:00+00:00,507,114,679,98
2021-12-07 00:00:00+00:00,656,142,621,99
2021-12-08 00:00:00+00:00,613,139,519,87
2021-12-09 00:00:00+00:00,539,128,391,91
