url_path,views_total,views_unique
/tendermint/starport,1588,530
/tendermint/starport/pulls,385,21
/tendermint/starport/issues,234,50
/tendermint/starport/tree/develop/starport,78,38
/tendermint/starport/search,76,18
/tendermint/starport/pull/1718,68,3
/tendermint/starport/pull/1716,59,8
/tendermint/starport/releases,56,28
/tendermint/starport/tree/develop/docs,50,24
/tendermint/starport/pull/1715,40,9
