time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-07 00:00:00+00:00,277.0,59.0,650,79
2021-09-08 00:00:00+00:00,201.0,68.0,627,91
2021-09-09 00:00:00+00:00,54.0,24.0,510,106
2021-09-10 00:00:00+00:00,296.0,33.0,827,100
2021-09-11 00:00:00+00:00,25.0,9.0,263,61
2021-09-12 00:00:00+00:00,3.0,3.0,128,61
2021-09-13 00:00:00+00:00,172.0,80.0,703,117
2021-09-14 00:00:00+00:00,283.0,74.0,905,98
2021-09-15 00:00:00+00:00,108.0,53.0,612,101
2021-09-16 00:00:00+00:00,,,640,118
2021-09-17 00:00:00+00:00,,,553,115
2021-09-18 00:00:00+00:00,,,199,83
2021-09-19 00:00:00+00:00,,,254,85
2021-09-20 00:00:00+00:00,,,670,103
