time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-20 00:00:00+00:00,180,67,427,57
2021-07-21 00:00:00+00:00,239,65,502,68
2021-07-22 00:00:00+00:00,208,71,518,52
2021-07-23 00:00:00+00:00,151,55,466,75
2021-07-24 00:00:00+00:00,165,49,186,42
2021-07-25 00:00:00+00:00,174,46,198,47
2021-07-26 00:00:00+00:00,254,78,716,89
2021-07-27 00:00:00+00:00,205,64,595,62
2021-07-28 00:00:00+00:00,186,85,549,86
2021-07-29 00:00:00+00:00,256,83,475,77
2021-07-30 00:00:00+00:00,214,75,413,62
2021-07-31 00:00:00+00:00,188,76,188,48
2021-08-01 00:00:00+00:00,153,65,71,35
2021-08-02 00:00:00+00:00,187,80,451,75
