time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-09 00:00:00+00:00,54,24,510.0,106.0
2021-09-10 00:00:00+00:00,296,33,827.0,100.0
2021-09-11 00:00:00+00:00,25,9,263.0,61.0
2021-09-12 00:00:00+00:00,3,3,128.0,61.0
2021-09-13 00:00:00+00:00,172,80,703.0,117.0
2021-09-14 00:00:00+00:00,283,74,905.0,98.0
2021-09-15 00:00:00+00:00,121,55,595.0,101.0
2021-09-16 00:00:00+00:00,188,55,,
2021-09-17 00:00:00+00:00,235,77,,
2021-09-18 00:00:00+00:00,112,50,,
2021-09-19 00:00:00+00:00,24,19,,
2021-09-20 00:00:00+00:00,192,22,,
2021-09-21 00:00:00+00:00,218,62,,
2021-09-22 00:00:00+00:00,344,70,,
