time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-25 00:00:00+00:00,174,46,198,47
2021-07-26 00:00:00+00:00,254,78,716,89
2021-07-27 00:00:00+00:00,205,64,595,62
2021-07-28 00:00:00+00:00,186,85,549,86
2021-07-29 00:00:00+00:00,256,83,475,77
2021-07-30 00:00:00+00:00,214,75,413,62
2021-07-31 00:00:00+00:00,188,76,188,48
2021-08-01 00:00:00+00:00,153,65,71,35
2021-08-02 00:00:00+00:00,197,86,466,78
2021-08-03 00:00:00+00:00,256,100,503,63
2021-08-04 00:00:00+00:00,253,70,506,90
2021-08-05 00:00:00+00:00,134,53,253,77
2021-08-06 00:00:00+00:00,224,44,407,85
2021-08-07 00:00:00+00:00,84,25,127,42
